Category,Subcategory,Title,Brend,Country,Url of Product
Молочные продукты и яйца,Йогурт,Биойогурт 2.3% питьевой Орехи-Чиа-Ваниль Активиа п/бут 270г,Активиа,RU,/product/4870206414132-kz-bioyogurt-pitevoy-aktivia-orehichiavanil-23-270gr-pb
Молочные продукты и яйца,Йогурт,Биойогурт 2.1% питьевой Вишня-Чиа Активиа п/бут 270г,Активиа,RU,/product/4870206413777-kz-bioyogurt-pitevoy-aktivia-vishnyachiya-21-270ml-pb
Молочные продукты и яйца,Йогурт,Биойогурт 2.2% питьевой Персик-Чиа-Гранола Активиа п/бут 270г,Активиа,RU,/product/4870206414125-kz-bioyogurt-pitevoy-aktivia-persikchiagranola-22-270gr-pb
Молочные продукты и яйца,Йогурт,Йогурт 1.2% обогащенный бифидобактериями и витаминами Клубника Имуно Био Баланс п/бут 310г,Био Баланс,KZ,/product/4870206414064-kz-yogurt-bio-balans-imuno-klubnika-vitaminypribiotiki-310gr-pb
Молочные продукты и яйца,Йогурт,ЙОГУРТ BIO БАЛАНС ИМУНО ГРАНАТ ВИТАМИНЫ+ПРИБИОТИКИ 310ГР П/Б,Био Баланс,KZ,/product/4870206414071-kz-yogurt-bio-balans-imuno-granat-vitaminypribiotiki-310gr-pb
Молочные продукты и яйца,Йогурт,Йогурт 2.5% питьевой Персик-Маракуйя Danone п/бут 270г,Danone,KZ,/product/4870206414149-kz-yogurt-pitevoy-danone-persikmarakuyya-25-270ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 2.5% питьевой Клубника Danone п/бут 270г,Danone,KZ,/product/4870206414156-kz-yogurt-pitevoy-danone-klubnika-25-270ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 1.2% обогащенный бифидобактериями и витаминами Гранат Имуно Био Баланс п/бут 900г,Био Баланс,KZ,/product/4870206413012-kz-yogurt-pitevoy-danone-bio-balans-immuno-complex-granat-930ml-16-pb
Молочные продукты и яйца,Йогурт,Йогурт 1.2% обогащенный бифидобактериями и витаминами Малина-Шиповник Имуно Био Баланс п/бут 900г,Био Баланс,KZ,/product/4870206413258-kz-yogurt-pitevoy-danone-bio-balans-imuno-kompleks-malinashipovnik-930ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 1.2% обогащенный бифидобактериями и витаминами Клубника Имуно Био Баланс п/бут 900г,Био Баланс,KZ,/product/4870206413029-kz-yogurt-pitevoy-danone-bio-balans-immuno-complex-klubn-930ml-16-pb
Молочные продукты и яйца,Йогурт,Биойогурт 3.2% питьевой ванильный Био-С Имун+ Food Master п/бут 900г,Food Master,KZ,/product/4870207311850-kz-prostokvasha-foodmaster-bio-s-vanil-32-900ml-pb
Молочные продукты и яйца,Йогурт,Напиток кисломолочный 2% сладкий Снежок Food Master м/у 0.9л,Food Master,KZ,/product/4870207312888-kz-snezhok-foodmaster-sladkiy-2-900ml-flp
Молочные продукты и яйца,Йогурт,Йогурт 2.5% питьевой Lactis м/у 0.9л,No Brand,KZ,/product/4870005890595-kz-yogurt-pitevoy-lactis-so-vkusom-klubn-25-09l-fp
